a name,year_birth,age,log_age,bm_before,bm_after,hibdur days,hibstart,hibend,hibendyearbefore,bmspring,year,sex,diet,age death,repro_active
50,2003,4,0.6021,210,139,264,06.09.07,27.05.08,31.05.07,117,2007,f,high fat,11,yes
50,2003,5,0.699,198,130,317,16.06.08,29.04.09,27.05.08,139,2008,f,medium,11,no
50,2003,6,0.7782,161,105,321,22.07.09,08.06.10,29.04.09,130,2009,f,protein,11,no
50,2003,7,0.8451,201,126,253,14.09.10,25.05.11,08.06.10,105,2010,f,high fat,11,yes
50,2003,8,0.9031,177,112,282,07.07.11,02.05.12,25.05.11,126,2011,f,protein,11,no
50,2003,9,0.9542,185,107,267,21.08.12,15.05.13,02.05.12,112,2012,f,medium,11,yes
50,2003,10,1,162,101,238,14.08.13,09.04.14,15.05.13,107,2013,f,medium,11,yes
51,2003,1,0,147,113,269,10.09.04,06.05.05,,,2004,f,medium,5,no
51,2003,3,0.4771,215,137,225,29.09.06,09.05.07,06.06.06,141,2006,f,medium,5,no
51,2003,4,0.6021,171,107,257,06.09.07,20.05.08,09.05.07,137,2007,f,medium,5,yes
52,2003,1,0,155,111,269,27.08.04,23.05.05,,,2004,f,medium,5,no
52,2003,2,0.301,169,130,335,13.07.05,13.06.06,23.05.05,111,2005,f,medium,5,no
52,2003,3,0.4771,187,158,223,12.09.06,23.04.07,13.06.06,130,2006,f,medium,5,no
52,2003,4,0.6021,191,122,222,04.10.07,13.05.08,23.04.07,158,2007,f,medium,5,no
53,2004,1,0,166,122,272,28.09.05,27.06.06,30.05.05,121,2005,f,medium,8,no
53,2004,2,0.301,240,157,211,03.10.06,02.05.07,27.06.06,122,2006,f,medium,8,no
53,2004,3,0.4771,208,146,244,19.09.07,20.05.08,02.05.07,157,2007,f,medium,8,yes
53,2004,4,0.6021,212,153,219,22.09.08,29.04.09,20.05.08,146,2008,f,medium,8,no
53,2004,5,0.699,186,103,236,08.07.09,01.03.10,29.04.09,153,2009,f,high fat,8,no
53,2004,6,0.7782,204,145,153,19.10.10,21.03.11,01.03.10,103,2010,f,high fat,8,no
53,2004,7,0.8451,171,115,202,05.10.11,02.05.12,21.03.11,145,2011,f,high fat,8,yes
54,2004,3,0.4771,195,132,254,27.08.07,07.05.08,14.06.07,235,2007,f,high fat,12,no
54,2004,4,0.6021,199,129,324,30.06.08,20.05.09,07.05.08,132,2008,f,medium,12,no
54,2004,5,0.699,185,123,313,25.06.09,04.05.10,20.05.09,129,2009,f,protein,12,no
54,2004,6,0.7782,243,157,267,14.09.10,08.06.11,04.05.10,123,2010,f,high fat,12,yes
54,2004,7,0.8451,233,133,334,27.07.11,29.05.12,08.06.11,157,2011,f,medium,12,no
54,2004,8,0.9031,209,130,255,31.07.12,12.04.13,29.05.12,133,2012,f,medium,12,no
54,2004,9,0.9542,197,137,252,11.09.13,21.05.14,12.04.13,130,2013,f,medium,12,no
54,2004,10,1,213,133,224,03.09.14,15.04.15,21.05.14,137,2014,f,high fat,12,no
55,2004,1,0,171,131,279,19.09.05,27.06.06,02.06.05,115,2005,f,medium,5,no
55,2004,2,0.301,267,154,254,19.09.06,31.05.07,27.06.06,131,2006,f,medium,5,no
55,2004,3,0.4771,300,198,305,16.08.07,16.06.08,31.05.07,154,2007,f,high fat,5,no
56,2006,1,0,209,161,277,06.09.07,09.06.08,19.04.07,105,2007,f,medium,7,yes
56,2006,2,0.301,232,162,303,30.06.08,29.04.09,09.06.08,161,2008,f,medium,7,no
56,2006,3,0.4771,205,122,321,27.05.09,13.04.10,29.04.09,162,2009,f,protein,7,no
56,2006,4,0.6021,254,167,260,21.09.10,08.06.11,13.04.10,122,2010,f,high fat,7,yes
56,2006,5,0.699,213,155,187,14.09.11,19.03.12,08.06.11,167,2011,f,high fat,7,yes
57,2006,1,0,197,142,292,02.08.07,20.05.08,10.04.07,63,2007,f,high fat,8,no
57,2006,2,0.301,183,145,352,30.06.08,17.06.09,20.05.08,142,2008,f,medium,8,no
57,2006,3,0.4771,196,132,342,01.07.09,08.06.10,17.06.09,145,2009,f,protein,8,no
57,2006,4,0.6021,225,124,260,07.09.10,25.05.11,08.06.10,132,2010,f,high fat,8,no
57,2006,5,0.699,200,133,342,22.06.11,29.05.12,25.05.11,124,2011,f,medium,8,no
57,2006,6,0.7782,203,135,337,10.07.12,12.06.13,29.05.12,133,2012,f,medium,8,no
57,2006,7,0.8451,194,130,301,14.08.13,11.06.14,12.06.13,135,2013,f,medium,8,no
58,2006,2,0.301,180,145,233,08.09.08,29.04.09,18.06.08,140,2008,f,high fat,7,no
58,2006,3,0.4771,152,99,265,22.07.09,13.04.10,29.04.09,145,2009,f,high fat,7,no
58,2006,4,0.6021,173,106,239,28.09.10,25.05.11,13.04.10,99,2010,f,high fat,7,yes
