scientific_name,family,reproductive_mode,ac,median_depth,max_size_cm,ventilation_method,habitat,estimate_type,mortality_prop,gear_class,estimate_type_new
Zameus squamulosus,Somniosidae,lecithotrophic viviparity,2.0601,755.5,84,stationary,demersal,AVM Longline,0.12887917720782718,Longline,AVM
Zameus squamulosus,Somniosidae,lecithotrophic viviparity,2.0601,755.5,84,stationary,demersal,PRM Longline,0.3294974473346202,Longline,PRM
Carcharhinus perezi,Carcharhinidae,matrotrophic viviparity,7.6352,189,295,ram,pelagic,AVM Longline,0.4124131190513966,Longline,AVM
Carcharhinus perezi,Carcharhinidae,matrotrophic viviparity,7.6352,189,295,ram,pelagic,PRM Longline,0.3287857292440077,Longline,PRM
Isogomphodon oxyrhynchus,Carcharhinidae,matrotrophic viviparity,9.776036695,22,160,ram,demersal,AVM Longline,0.3152375977411492,Longline,AVM
Isogomphodon oxyrhynchus,Carcharhinidae,matrotrophic viviparity,9.776036695,22,160,ram,demersal,PRM Longline,0.3605534959720228,Longline,PRM
Etmopterus bigelowi,Etmopteridae,lecithotrophic viviparity,6.8893,581.5,67,stationary,pelagic,AVM Longline,0.16324167236599813,Longline,AVM
Etmopterus bigelowi,Etmopteridae,lecithotrophic viviparity,6.8893,581.5,67,stationary,pelagic,PRM Longline,0.31457124792071356,Longline,PRM
Rhizoprionodon porosus,Carcharhinidae,matrotrophic viviparity,7.117931034,250,110,ram,pelagic,AVM Longline,0.40702563741284065,Longline,AVM
Rhizoprionodon porosus,Carcharhinidae,matrotrophic viviparity,7.117931034,250,110,ram,pelagic,PRM Longline,0.3126102678898025,Longline,PRM
Etmopterus gracilispinis,Etmopteridae,lecithotrophic viviparity,7.6064,612.5,35,stationary,pelagic,AVM Longline,0.16218509982924137,Longline,AVM
Etmopterus gracilispinis,Etmopteridae,lecithotrophic viviparity,7.6064,612.5,35,stationary,pelagic,PRM Longline,0.3576406853966562,Longline,PRM
Etmopterus granulosus,Etmopteridae,lecithotrophic viviparity,6.274288889,920,86,stationary,pelagic,AVM Longline,0.16645321428582494,Longline,AVM
Etmopterus granulosus,Etmopteridae,lecithotrophic viviparity,6.274288889,920,86,stationary,pelagic,PRM Longline,0.3123626133831351,Longline,PRM
Squatina dumeril,Squatinidae,lecithotrophic viviparity,6.6795,688,152,stationary,demersal,AVM Longline,0.16278177685024556,Longline,AVM
Squatina dumeril,Squatinidae,lecithotrophic viviparity,6.6795,688,152,stationary,demersal,PRM Longline,0.34496783693320393,Longline,PRM
Cephaloscyllium sarawakensis,Scyliorhinidae,lecithotrophic viviparity,6.14548,141,44.1,stationary,pelagic,AVM Longline,0.21425139035037255,Longline,AVM
Cephaloscyllium sarawakensis,Scyliorhinidae,lecithotrophic viviparity,6.14548,141,44.1,stationary,pelagic,PRM Longline,0.3489705128295362,Longline,PRM
Carcharhinus amblyrhynchoides,Carcharhinidae,matrotrophic viviparity,9.92492714,37.5,182,ram,pelagic,AVM Longline,0.3152375977411492,Longline,AVM
Carcharhinus amblyrhynchoides,Carcharhinidae,matrotrophic viviparity,9.92492714,37.5,182,ram,pelagic,PRM Longline,0.36184079482221465,Longline,PRM
Carcharhinus fitzroyensis,Carcharhinidae,matrotrophic viviparity,9.92492714,20,135,ram,demersal,AVM Longline,0.3152375977411492,Longline,AVM
Carcharhinus fitzroyensis,Carcharhinidae,matrotrophic viviparity,9.92492714,20,135,ram,demersal,PRM Longline,0.361673460391538,Longline,PRM
Carcharhinus sealei,Carcharhinidae,matrotrophic viviparity,9.92492714,20,100,ram,pelagic,AVM Longline,0.3152375977411492,Longline,AVM
Carcharhinus sealei,Carcharhinidae,matrotrophic viviparity,9.92492714,20,100,ram,pelagic,PRM Longline,0.3837578640684321,Longline,PRM
Centroscyllium kamoharai,Etmopteridae,lecithotrophic viviparity,1.0739,965,60,stationary,demersal,AVM Longline,0.1270129486145202,Longline,AVM
Centroscyllium kamoharai,Etmopteridae,lecithotrophic viviparity,1.0739,965,60,stationary,demersal,PRM Longline,0.3298663413188411,Longline,PRM
Centroselachus crepidater,Somniosidae,lecithotrophic viviparity,4.2579,1140,105,stationary,demersal,AVM Longline,0.1260932708324864,Longline,AVM
