family,binomial_name,common_name,endocranial_volume,brain_mass,ocw_mm,body_mass
Delphinidae,Lagenorhynchus_obscurus,NA,886.100,682.406,73.231,58.473
Delphinidae,Lagenorhynchus_obliquidens,NA,1045.000,795.973,74.832,63.500
Delphinidae,Stenella_longirostris,NA,660.000,535.387,75.654,66.200
Delphinidae,Cephalorhynchus_heavisidii,NA,763.000,593.495,77.055,71.000
Delphinidae,Stenella_clymene,NA,666.000,522.764,81.026,86.000
Delphinidae,Lagenorhynchus_harmatuki,NA,1129.200,855.674,NA,98.672
Delphinidae,Lagenorhynchus_n._sp._H,NA,1129.200,855.674,84.000,98.674
Delphinidae,Lagenorhynchus_harmatuki,NA,1344.000,1006.681,NA,112.802
Delphinidae,Lagenorhynchus_sp.,NA,1344.000,1006.681,87.000,112.805
Delphinidae,Steno_bredanensis,NA,1541.900,1181.653,89.154,123.831
Delphinidae,Lagenorhynchus_acutus,NA,1100.500,835.359,106.530,244.217
Delphinidae,Grampus_griseus,NA,2384.400,1718.957,114.350,319.974
Delphinidae,Pseudorca_crassidens,NA,3512.000,2467.306,133.600,579.196
Delphinidae,Globicephala_baereckeii,NA,4165.900,2893.552,150.000,900.766
Delphinidae,Globicephala_melaena,NA,2861.700,2038.094,151.605,938.075
Dichobunidae,Mouillacitherium_elegans,NA,6.960,7.406,NA,1.009
Dichobunidae,Dichobune_leporina,NA,15.844,15.958,NA,4.556
Entelodontidae,Archaeotherium,NA,190.000,167.537,NA,350.000
Eosqualodontidae,n._gen._n._sp.,NA,425.500,355.465,70.330,164.356
Eurhinodelphidae,Schizodelphis_n._sp._H.,NA,642.700,505.675,72.750,182.745
Eurhinodelphidae,Xiphiacetus_sp.,NA,431.500,285.736,72.800,183.139
Eurhinodelphidae,Xiphiacetus_sp.,NA,650.800,408.712,73.000,184.721
Eurhinodelphidae,Eurhinodelphis_sp.,NA,650.800,511.620,73.000,184.721
Eurhinodelphidae,Eurhinodelphis_sp.,NA,431.500,348.646,73.000,184.721
Eurhinodelphidae,Schizodelphis_n._sp._H.,NA,342.100,280.726,74.500,196.884
Eurhinodelphidae,Xiphiacetus_n._sp._M.,NA,531.800,342.790,75.000,201.056
Eurhinodelphidae,Eurhinodelphis_n._sp._M*,NA,531.800,423.739,75.000,201.056
Eurhinodelphidae,Schizodelphis_n._sp._B.,NA,478.900,396.919,75.670,206.741
Eurhinodelphidae,Schizodelphis_sp.,NA,416.200,337.094,76.000,209.580
Eurhinodelphidae,Schizodelphis_longirostris,NA,495.100,396.382,77.970,227.087
Eurhinodelphidae,Schizodelphis_n._sp._B.,NA,346.100,293.163,78.000,227.361
Eurhinodelphidae,Xiphiacetus_n._sp._V.,NA,543.100,349.125,79.000,236.625
Eurhinodelphidae,Schizodelphis_sp.,NA,328.000,269.912,79.000,236.625
Eurhinodelphidae,Eurhinodelphis_n._sp._V*,NA,543.100,432.136,79.000,236.625
Eurhinodelphidae,Schizodelphis_n._sp._H.,NA,476.900,382.766,81.000,255.918
