subject_name,tactic.aggregate,season.year,tactic.season,year.begin,year.end,n.fixes,year.mean,year.max,year.delta,year.mcp.area,mu.daily.disp,subject_sex,subject_ageClass,centroid.dist.meters,tactic.prev,tactic.change
Olchoda,4,2017,4,2017-04-01,2018-03-31,8725,0.2434,0.3444,0.2315,52740.37,9190.11,male,mature adult,30.00,3,1
Olchoda,4,2018,4,2018-04-01,2018-06-24,2023,0.1789,0.2481,0.0944,45743.91,9968.46,male,mature adult,0.00,4,0
Olenashui,3,2011,4,2011-11-11,2012-03-31,3324,0.1679,0.2060,0.0907,165373.81,9586.52,male,mature adult,0.00,NA,NA
Olenashui,3,2012,2,2012-04-01,2013-03-31,8388,0.0402,0.1718,0.1694,258581.72,7564.97,male,mature adult,174.93,4,1
Olenashui,3,2013,2,2013-04-01,2013-05-10,882,0.0091,0.0125,0.0065,8335.04,5946.95,male,mature adult,0.00,2,0
Olopito,1,2012,1,2012-10-23,2013-03-31,3393,0.0000,0.0060,0.0060,1805.30,4211.71,female,young adult,1950.00,NA,NA
Olopito,1,2013,2,2013-04-01,2013-09-03,3331,0.0141,0.0241,0.0213,92194.78,7619.52,female,young adult,60.00,1,1
Omondi,3,2011,2,2012-02-05,2012-03-30,966,0.0021,0.0231,0.0088,146435.93,9336.16,male,mature adult,3017.35,NA,NA
Omondi,3,2012,3,2012-04-01,2013-03-31,7961,0.0555,0.1407,0.1380,94321.41,7514.22,male,mature adult,210.00,2,1
Omondi,3,2013,2,2013-04-01,2014-03-31,7413,0.0399,0.0875,0.0815,82677.79,7163.61,male,mature adult,134.16,3,1
Omondi,3,2014,3,2014-04-01,2015-03-01,7151,0.0885,0.2431,0.2356,99024.86,7564.63,male,mature adult,0.00,2,1
Pepper,1,2011,1,2012-01-27,2012-03-30,1197,0.0050,0.0028,0.0000,44525.31,7444.99,male,young adult,7688.26,NA,NA
Pepper,1,2012,1,2012-04-01,2013-03-31,8002,0.0004,0.0028,0.0028,141665.77,9397.87,male,young adult,9990.41,1,0
Pepper,1,2013,1,2013-04-01,2014-03-31,8166,0.0015,0.0032,0.0032,83628.74,7870.75,male,young adult,11012.62,1,0
Pepper,1,2014,1,2014-04-01,2014-11-24,5219,0.0004,0.0005,0.0005,90698.80,7839.35,male,young adult,8477.22,1,0
Polaris,2,2013,2,2013-08-27,2014-03-31,4841,0.0318,0.0648,0.0634,75995.49,7657.39,male,mature adult,600.00,NA,NA
Polaris,2,2014,2,2014-04-01,2015-03-31,8029,0.0082,0.0190,0.0176,43420.68,6483.76,male,mature adult,1318.98,2,0
Polaris,2,2015,1,2015-04-01,2015-11-10,4849,0.0058,0.0097,0.0088,58892.54,7030.71,male,mature adult,276.59,2,1
Shorty,3,2015,2,2015-12-27,2016-03-31,2009,0.0010,0.0153,0.0153,47650.07,6520.23,male,mature adult,13806.06,NA,NA
Shorty,3,2016,3,2016-04-01,2017-03-31,8460,0.0804,0.1380,0.1366,163212.76,11300.28,male,mature adult,11074.59,2,1
Shorty,3,2017,3,2017-04-01,2018-03-31,8417,0.0656,0.1398,0.1306,61472.93,10125.22,male,mature adult,3097.13,3,0
Shorty,3,2018,2,2018-04-01,2019-03-31,8478,0.0351,0.1097,0.1065,101121.45,10603.79,male,mature adult,8197.47,3,1
Shorty,3,2019,3,2019-04-01,2019-11-16,5314,0.0755,0.1417,0.1366,104383.84,10743.36,male,mature adult,6993.35,2,1
Sindiyo,2,2011,1,2012-01-27,2012-03-30,1274,0.0039,0.0069,0.0046,118094.13,9902.19,male,mature adult,750.00,NA,NA
Sindiyo,2,2012,2,2012-04-01,2013-03-31,7860,0.0149,0.0292,0.0236,118570.01,8325.62,male,mature adult,4161.25,1,1
Sindiyo,2,2013,2,2013-04-01,2014-03-31,7850,0.0192,0.0384,0.0292,108960.59,9552.59,male,mature adult,1482.19,2,0
Sindiyo,2,2014,1,2014-04-01,2014-12-03,5347,0.0062,0.0106,0.0083,34452.17,7806.36,male,mature adult,1415.10,2,1
Siyabei,2,2011,3,2011-11-12,2012-03-31,3246,0.0447,0.0574,0.0394,159669.17,7860.09,female,young adult,523.93,NA,NA
Siyabei,2,2012,2,2012-04-01,2012-06-20,1932,0.0124,0.0537,0.0398,32482.19,6854.66,female,young adult,836.78,3,1
Tressa,1,2015,1,2015-12-27,2016-03-31,2284,0.0000,0.0000,0.0000,30615.46,7742.13,female,young adult,11650.59,NA,NA
Tressa,1,2016,1,2016-04-01,2017-03-31,7857,0.0000,0.0000,0.0000,45221.21,6489.13,female,young adult,7674.37,1,0
Tressa,1,2017,1,2017-04-01,2018-03-31,7799,0.0003,0.0009,0.0009,43649.97,6009.68,female,young adult,8718.86,1,0
Tressa,1,2018,1,2018-04-01,2019-03-31,7337,0.0004,0.0014,0.0014,44541.36,4887.47,female,young adult,8054.32,1,0
Tressa,1,2019,1,2019-04-01,2019-11-07,4289,0.0002,0.0005,0.0005,209477.70,5168.86,female,young adult,11820.84,1,0
YaoMing,2,2011,2,2012-01-29,2012-03-30,1195,0.0033,0.0347,0.0227,106571.46,10247.16,male,young adult,11094.53,NA,NA
YaoMing,2,2012,2,2012-04-01,2012-07-17,2306,0.0256,0.0273,0.0213,45778.91,7682.39,male,young adult,1867.97,2,0
